_name,ItemId,ItemName,LocalizationKey,Rarity,Rarity__enum,Icon,BackpackSprite
Backpack_10_1,1398,Celestial Lyre,Items.Backpack.Name.1398,9,Divine,ref:abc1ee87920573e468b57dbac3f9b0cb,ref:b6094b1efcade04468cab36e45e78053
Backpack_10_2,1399,Radiant Shield,Items.Backpack.Name.1399,9,Divine,ref:1a738b6be777a9d44b184755fc30faeb,ref:00ffc2ea69527214180532faa01c49f1
Backpack_1_1,12,Travel Pack,Items.Backpack.Name.12,0,Common,ref:023e373c851195548b1d17145457e918,ref:7bb4dc94fd1b2174f81988eae8827bce
Backpack_1_2,13,Bed Roll,Items.Backpack.Name.13,0,Common,ref:238714db8c1d9e34798676571fec6b06,ref:a59fdb0496a4997439c9c76add0f3c92
Backpack_2_1,17,Arrow Bundle,Items.Backpack.Name.17,1,Uncommon,ref:74ab769d33a5a4243bc6882cc907f48e,ref:183d2c3e8382f2a45a4e77d3a707f78f
Backpack_2_2,16,Hide Backpack,Items.Backpack.Name.16,1,Uncommon,ref:a07ce74e74308594ea22a66483d60496,ref:4bf153cc46cb34145a0fb2811875fb96
Backpack_3_1,20,Quiver,Items.Backpack.Name.20,2,Rare,ref:daefcb5ee0fb6234192ba52d4121af07,ref:e6722f0e6f2a92d46860906c46c4f94e
Backpack_3_2,19,Round Shield,Items.Backpack.Name.19,2,Rare,ref:b232f5015d060c1419dfe3d70c5990f5,ref:bd5e5e498955fd84a961cad6a4d13c94
Backpack_4_1,39,Archer Quiver,Items.Backpack.Name.39,3,Epic,ref:228b6c9ad0e080d4ea97bd716b054b95,ref:77ea2fe111316fd4a95cee1febe35655
Backpack_4_2,42,Kite Shield,Items.Backpack.Name.42,3,Epic,ref:f77bf5b683845054ba364adbc87ba055,ref:930a083f94c05234eb01daf34b14ffcb
Backpack_5_1,41,Templar Shield,Items.Backpack.Name.41,4,Legendary,ref:ac09a10b2ffd95d438d27af59264cfb2,ref:ec4cb597f165cca45b8784873ef8adc6
Backpack_5_2,43,Knight Shield,Items.Backpack.Name.43,4,Legendary,ref:7988bef211482604a8a4225e85855316,ref:efd15448504cc01498b80176014478b1
Backpack_6_1,44,Arcane Backpack,Items.Backpack.Name.44,5,Mythic,ref:4cf8a3bb5cf353544bd14cc46cf276b0,ref:f05658b35b482474d91cbc0d42770863
Backpack_6_2,45,Mystic Shield,Items.Backpack.Name.45,5,Mythic,ref:8e6fadd7483c6e8439402bfab15d5c04,ref:a0b3cf1c6ecffdd40b705b4d2f4221fa
Backpack_7_1,46,Sacred Book,Items.Backpack.Name.46,6,Artifact,ref:07b5780b133e8ea45a91e099ec273c30,ref:69d2b6871bb361342a5ca19c90f7b965
Backpack_7_2,47,Wild Quiver,Items.Backpack.Name.47,6,Artifact,ref:8d890fddd5ce318449d5d9ef6eeddcad,ref:cb1fe634650ac614d823fc7a06e35abe
Backpack_8_1,1344,Ice Shield,Items.Backpack.Name.1344,7,Ancient,ref:fe5eda84c7db0324e90890c40c415008,ref:92d3136671b644b46a70b43ee4186ea3
Backpack_8_2,1345,Frost Shield,Items.Backpack.Name.1345,7,Ancient,ref:873c47a3bcc579549bec58f538b5a0fe,ref:a23791cb3e30b0e4ea8a63f0c95948fa
Backpack_9_1,1396,Infernal Tome,Items.Backpack.Name.1396,8,Immortal,ref:15889c8737e3add409e0902fca4de3bb,ref:c2f37d2a11a46c6448d9d83e05ef62d7
Backpack_9_2,1397,Crimson Backpack,Items.Backpack.Name.1397,8,Immortal,ref:0d038a97935f00042a86ae59d18f6a72,ref:6155248e191f9dc4d98ca361c76aff4b
