_name,CapeId,CapeName,LocalizationKey,Rarity,Rarity__enum,Icon,CapeSprite,HealthBase,DamageBase,HealthScaler,DamageScaler,SubStatCount
1-Cape,1,Peasant Cloak,Items.Cape.Name.1,0,Common,ref:6102fe8820c3dd64e82bff64ec55bdfd,ref:6102fe8820c3dd64e82bff64ec55bdfd,5,5,0.02,0.02,1
10-Cape,10,Fiend Cloak,Items.Cape.Name.10,4,Legendary,ref:7f049d0b6801e1a4ea3416548683da43,ref:7f049d0b6801e1a4ea3416548683da43,30,30,0.02,0.02,2
11-Cape,11,Holy Cloak,Items.Cape.Name.11,5,Mythic,ref:9959fee93aae9fb46b2fd171deb9a098,ref:9959fee93aae9fb46b2fd171deb9a098,50,50,0.02,0.02,2
12-Cape,12,Divine Cloak,Items.Cape.Name.12,5,Mythic,ref:9ab4851deb8f45a458347b1a6ac46427,ref:9ab4851deb8f45a458347b1a6ac46427,50,50,0.02,0.02,2
2-Cape,2,Leather Cloak,Items.Cape.Name.2,0,Common,ref:cc92c03eee33b3144810e85997a7c247,ref:cc92c03eee33b3144810e85997a7c247,5,5,0.02,0.02,1
3-Cape,3,Orange Cloak,Items.Cape.Name.3,1,Uncommon,ref:4838ae81335de9e4cb8842b7ba4b5d70,ref:4838ae81335de9e4cb8842b7ba4b5d70,10,10,0.02,0.02,1
4-Cape,4,Green Cloak,Items.Cape.Name.4,1,Uncommon,ref:49c631ae0f1d28c46991f7b52a51cff5,ref:49c631ae0f1d28c46991f7b52a51cff5,10,10,0.02,0.02,1
5-Cape,5,Knight Cloak,Items.Cape.Name.5,2,Rare,ref:8e5dbdc815adc1f4788b48ae21ffc9a9,ref:8e5dbdc815adc1f4788b48ae21ffc9a9,15,15,0.02,0.02,1
6-Cape,6,Royal Cloak,Items.Cape.Name.6,2,Rare,ref:2dd2759843275d84d8f4e277b4adf98f,ref:2dd2759843275d84d8f4e277b4adf98f,15,15,0.02,0.02,1
7-Cape,7,Druid Cloak,Items.Cape.Name.7,3,Epic,ref:fe911ed607e35d047be6e2742bccff9c,ref:fe911ed607e35d047be6e2742bccff9c,20,20,0.02,0.02,2
8-Cape,8,Frozen Cloak,Items.Cape.Name.8,3,Epic,ref:90cd4474ad09f3443a448311010bb0b9,ref:90cd4474ad09f3443a448311010bb0b9,20,20,0.02,0.02,2
9-Cape,9,Vampire Cloak,Items.Cape.Name.9,4,Legendary,ref:67133bbc45e66ec4a98368ed3c420914,ref:67133bbc45e66ec4a98368ed3c420914,30,30,0.02,0.02,2
