_name,ItemId,ItemName,LocalizationKey,Rarity,Rarity__enum,Icon,GlovesSprite
CultistGloveData_Melee,999,Zombie Gloves,Items.Gloves.Name.999,0,Common,ref:90dfd7af4f333a24eba496f3320908f4,ref:90dfd7af4f333a24eba496f3320908f4
CultistGloveData_Ranged,999,Zombie Gloves,Items.Gloves.Name.999,0,Common,ref:3a6d1cc90b1be25448f835b96dffba48,ref:3a6d1cc90b1be25448f835b96dffba48
DragonGloveData,1004,Zombie Gloves,Items.Gloves.Name.1004,0,Common,ref:fb4f0b3bf3b997b41918591a6b30459b,ref:fb4f0b3bf3b997b41918591a6b30459b
Gloves_10_1,1404,Divine Gloves,Items.Gloves.Name.1404,9,Divine,ref:983636125118b5a45a7acf697e14e7b2,ref:e41e71f73869e5745b25f3609fbbf3ea
Gloves_10_2,1405,Holy Gloves,Items.Gloves.Name.1405,9,Divine,ref:90d915a3a178f5c4d9044bfe914dfb6c,ref:693be7fd3fd85ea4e8d6ce2212c7657e
Gloves_10_3,1406,Radiant Gloves,Items.Gloves.Name.1406,9,Divine,ref:8367f106e13983c46bce58b924c96f6c,ref:3ad55b5ca759cef4a8502e5494fc1bc1
Gloves_10_4,1407,Celestial Gloves,Items.Gloves.Name.1407,9,Divine,ref:8d642d72b4ed9b948a0067958ea06e96,ref:c6464dc7832f5ec448d19dcefac97e9f
Gloves_1_1,5,Hide Bracers,Items.Gloves.Name.5,0,Common,ref:ba1955764bd28094eacc9c9d4a8d2452,ref:c08a55d9748fde14db5f0f3791aa22ac
Gloves_1_2,10,Hand Wraps,Items.Gloves.Name.10,0,Common,ref:7b0cf1d82039a2743a7ac8d5045d27fd,ref:f6cd8e63b2e0daa478aeaf3487ba2fce
Gloves_1_3,1275,Hide Gloves,Items.Gloves.Name.1275,0,Common,ref:ba18333e80b73dd4cad4cd81e1898b48,ref:383c9d5e5bbca874ca7c3af79e555c57
Gloves_1_4,1071,Leather Gloves,Items.Gloves.Name.1071,0,Common,ref:9cf5361786a832d429eba1a0fac008da,ref:9b2a3719291946642b8197f0f5095d87
Gloves_2_1,22,Vagabond Gloves,Items.Gloves.Name.22,1,Uncommon,ref:abe83ec713703054aa327337c4b16ab7,ref:dacd889c9e18ed146b2523c1521cf48b
Gloves_2_2,21,Farm Gloves,Items.Gloves.Name.21,1,Uncommon,ref:ec08018d7477f0d439159c0f5d5b6e0f,ref:6d9130dc989cba14c91b3cd22dd60788
Gloves_2_3,1094,Rider Gloves,Items.Gloves.Name.1094,1,Uncommon,ref:26601044606db0f4a8bf0a68ff136d38,ref:3c4c8d8362289bd448488b1b804597c2
Gloves_2_4,1093,Iron Gloves,Items.Gloves.Name.1093,1,Uncommon,ref:ca68ae338c5adf9409db78cee3292175,ref:6d5d7ade507f3fa4d9b106b0998ee8cc
Gloves_3_1,24,Steel Gloves,Items.Gloves.Name.24,2,Rare,ref:f6c7001bfa8f21141888344d51f328b5,ref:eb5a217b31f8b094abcccfcfd5352d96
Gloves_3_2,23,Orange Gloves,Items.Gloves.Name.23,2,Rare,ref:8fd4a37fb18273e4692a04ddab1f979a,ref:c45a92bf67abd1c41ab9ef4f1cc1520c
Gloves_3_3,1115,Orange Mittens,Items.Gloves.Name.1115,2,Rare,ref:495ca1f906a46c14a9867221ddd98e2c,ref:27913511b300af54b8f7c21ba7931538
Gloves_3_4,1114,Iron Gauntlets,Items.Gloves.Name.1114,2,Rare,ref:8a49e21438f30c348b9f5a5926f3fa8b,ref:afd5c116cbfa8df4aa6ca022bc69c809
Gloves_4_1,52,Archer Gloves,Items.Gloves.Name.52,3,Epic,ref:25683e5e8f472ce498d52152eb766083,ref:fce15462159833543a59785347c06144
Gloves_4_2,51,Archer Mittens,Items.Gloves.Name.51,3,Epic,ref:473460798c96f02439b99aedefc7b1e0,ref:7a7050ec20692b74cb4d0c3bc789432d
Gloves_4_3,1134,Heavy Gloves,Items.Gloves.Name.1134,3,Epic,ref:cc7fa3af1b43c27409a85325eaf8154b,ref:d702f08c8d875204498c2e68520a2f5b
Gloves_4_4,1152,Heavy Gauntlets,Items.Gloves.Name.1152,3,Epic,ref:2ebb18a774857d54ea4b9964d63e289f,ref:542cebe029137c2438dca2904b86cc7a
Gloves_5_1,54,Crimson Gloves,Items.Gloves.Name.54,4,Legendary,ref:861695ef67952b64aa339b4faacbc5f0,ref:6c3f6016b1f5e7f47a1e3b422389d412
Gloves_5_2,53,Crimson Gauntlets,Items.Gloves.Name.53,4,Legendary,ref:d9856e5b235126543b7e7164ee2ef7c5,ref:67561c1bdc98f9845b634be39147cd37
Gloves_5_3,1169,Knight Gloves,Items.Gloves.Name.1169,4,Legendary,ref:b0f4f430bc907ef44bd229a0a8739b90,ref:58d641d4fb4dc424e9e26d8b52d7d958
Gloves_5_4,1168,Templar Gloves,Items.Gloves.Name.1168,4,Legendary,ref:cd6022317ea073f4eb10fd156e5a4213,ref:4e39ec98f8219534191a7a66b0999a03
Gloves_6_1,1303,Mystic Gloves,Items.Gloves.Name.1303,5,Mythic,ref:e9490e2882a4e7a428f4b2040eb48714,ref:06270a3acaf96f945a7ca4617dbe9793
Gloves_6_2,1304,Mage Gloves,Items.Gloves.Name.1304,5,Mythic,ref:2cafea13842b01d48bb31f906585a752,ref:96bfdab902f08c14e881f4b137bc6bc6
Gloves_6_3,1305,Arcane Gloves,Items.Gloves.Name.1305,5,Mythic,ref:f681149d1d3708842b8fe3a6a6dbaff4,ref:c6f51e2ef2bc0c649a26263f3c78fe7f
Gloves_6_4,1306,Crystal Gloves,Items.Gloves.Name.1306,5,Mythic,ref:3996abf45e5be4b45813cb92a48fb151,ref:168617abf1467a74698dbf592e31b72b
Gloves_7_1,1307,Wild Gloves,Items.Gloves.Name.1307,6,Artifact,ref:7480ade3d14c0e24caa93caba2955d28,ref:2d11e4a050d83234487465fc49dfb433
Gloves_7_2,1308,Druidic Gloves,Items.Gloves.Name.1308,6,Artifact,ref:c70f90935d8f5984ab358240156e6610,ref:f907a26afb8e00d4e9963c16e76ce4fc
Gloves_7_3,1309,Sacred Gloves,Items.Gloves.Name.1309,6,Artifact,ref:190fb4bdd3d9ad44cbdabbc17b3c3971,ref:cfc0f75104d69d84caccdef239ef22ad
Gloves_7_4,1310,Verdant Gloves,Items.Gloves.Name.1310,6,Artifact,ref:46d865f49fad5a047b2dc2e5d6843872,ref:a81cc38bb51e4b04a9a67db2c7b0062b
Gloves_8_1,1346,Winter Gloves,Items.Gloves.Name.1346,7,Ancient,ref:9b8f1c3f21f555b419666201a2276a53,ref:d412064d1bf6f5e4cab2feaef12d9551
Gloves_8_2,1347,Frost Gloves,Items.Gloves.Name.1347,7,Ancient,ref:79f135cf33f66c8429e312a712c75443,ref:7a0814daf7ff5844581d764b3b30626f
Gloves_8_3,1348,Chill Gloves,Items.Gloves.Name.1348,7,Ancient,ref:4dd00caeda84ae14493065434550ea8e,ref:3a507727c1951374a8b9eeb26a9f9d28
Gloves_8_4,1349,Ice Gloves,Items.Gloves.Name.1349,7,Ancient,ref:e4967406adeed264aae9e094badeb4b8,ref:8defca59a13523c458b9aad3a0fc9b38
Gloves_9_1,1400,Crimson Gloves,Items.Gloves.Name.1400,8,Immortal,ref:64f7fe2c782b96549bbe63e87ee56aec,ref:af776e42d9f71db4c87b8206cb3f92b1
Gloves_9_2,1401,Blood Gloves,Items.Gloves.Name.1401,8,Immortal,ref:1a32502d84eddb348a65e50681922526,ref:5b57b8de5a8836b4780442b30601359d
