_name,ItemId,ItemName,LocalizationKey,Rarity,Rarity__enum,Icon,HelmetSprite
CultistHelmetData_Melee,1010,Cultist Helmet,Items.Helmet.Name.1010,0,Common,ref:37fc7ca18714c1c47a9110b95eb34257,ref:37fc7ca18714c1c47a9110b95eb34257
CultistHelmetData_Ranged,1010,Cultist Helmet,Items.Helmet.Name.1010,0,Common,ref:0e60364e364ecb84996419fef3922c50,ref:0e60364e364ecb84996419fef3922c50
DragonHelmetData,1005,Zombie Helmet,Items.Helmet.Name.1005,0,Common,ref:6e8e8ae090737d1429fd2ca49eef9bfa,ref:6e8e8ae090737d1429fd2ca49eef9bfa
GreenDragonHelmetData,1367,Zombie Helmet,Items.Helmet.Name.1367,0,Common,ref:69a98fe2714bf1842b990c490f2a48b4,ref:69a98fe2714bf1842b990c490f2a48b4
Helmet_10_1,1412,Blessed Tiara,Items.Helmet.Name.1412,9,Divine,ref:3e2dc3272d4ca4f40b355135fc294769,ref:70cf67fb4301adb4d9a4e08ff9385050
Helmet_10_2,1413,Celestial Helmet,Items.Helmet.Name.1413,9,Divine,ref:5d73f845b350e604f9b0c13dff61409d,ref:3937bbaf84f46e449a02f413daa36e92
Helmet_10_3,1414,Eternal Cape,Items.Helmet.Name.1414,9,Divine,ref:fb3b52d1f307afa4e9be8eb2350ccdbd,ref:21c098d0a8f2f0e43a19bddabed7d3e5
Helmet_10_4,1415,Solar Helmet,Items.Helmet.Name.1415,9,Divine,ref:31ee3519a32637c4a9594e5f905b459e,ref:dd4b8f2ccde6de244a7e813e427518d3
Helmet_1_1,14,Peasant Cape,Items.Helmet.Name.14,0,Common,ref:e38596be6cd1c9c4bb468c9d8d09f795,ref:a25ace7e5ff67dd4497357852428ca1c
Helmet_1_2,4,Peasant Cap,Items.Helmet.Name.4,0,Common,ref:aaeaa1090b6926b44baf99cd2ae5be16,ref:8c517d96def92224e940c47eecc60980
Helmet_1_3,1184,Peasant Hat ,Items.Helmet.Name.1184,0,Common,ref:61fe888630c68db49a8a1df03d4a75d3,ref:77262da74b70fb44391c5276f07c1a7b
Helmet_1_4,1198,Straw Hat,Items.Helmet.Name.1198,0,Common,ref:f881fd84061e7de4ba9b6c76894d85aa,ref:22638b77b3ce52345866a02f5490757b
Helmet_2_1,25,Leather Cape,Items.Helmet.Name.25,1,Uncommon,ref:17af20fe6e228ac4db769ee4f3f66847,ref:93dd60d8af7c7eb4084fb42389f91e5a
Helmet_2_2,26,Round Helmet,Items.Helmet.Name.26,1,Uncommon,ref:369fe3325f7d1fb48b3e4865922d0102,ref:34a71e18ed949394dae6c049e6aef209
Helmet_2_3,1276,Marksman Hat,Items.Helmet.Name.1276,1,Uncommon,ref:e72cce1af6c54984794d810b32490125,ref:32f7454040140ca45b60f4c60b8b4890
Helmet_2_4,1210,Simple Helmet,Items.Helmet.Name.1210,1,Uncommon,ref:456fa21f2684f9544a9ec73d4dec52eb,ref:ba49a12b0728f114c96b0e65a01f9fc8
Helmet_3_1,28,Viking Hat,Items.Helmet.Name.28,2,Rare,ref:d8ec4b8c54622924ba716efeb66b8c28,ref:b892d5e7800623d4b95fa137be5cf7d7
Helmet_3_2,27,Viking Horns,Items.Helmet.Name.27,2,Rare,ref:09d478c0c9938ff44be36497167be47a,ref:015bc611f2618ad4882a97a920849e15
Helmet_3_3,1221,Viking Cape,Items.Helmet.Name.1221,2,Rare,ref:04d937f3f0fbd1849b6d8f4bd0b49f13,ref:992027d889f6dcd46b206bc912e234e1
Helmet_3_4,1233,Viking Helmet,Items.Helmet.Name.1233,2,Rare,ref:e4200e1939b23404ab996627fc84616e,ref:89ff81fcf792d834ab5a465d87611fbc
Helmet_4_1,1311,Archer Hat,Items.Helmet.Name.1311,3,Epic,ref:724a59b48bf4ef042a68a0c376f8d03d,ref:2f7c0dda4a2ac9f4b88daaa81021bb39
Helmet_4_2,50,Squire Helmet,Items.Helmet.Name.50,3,Epic,ref:48e6d6f4987577441b02ca872a7f34e2,ref:2b42ea34cfefb9c4f8e8be9eeaeba720
Helmet_4_3,1230,Archer Cape,Items.Helmet.Name.1230,3,Epic,ref:16af626ddaf6ccc40b0667b90f099e0d,ref:775ad2fb5cacd9d4f9e26ee8345f638b
