_name,UpgradeType,UpgradeType__enum,UnlockGemCost,AddedLater,UpgradeName,Description,Icon,ValueSuffix,ValueSpriteAsset,DefaultValue,ApplyDefaultBeforeFeatureUnlock,ApplyDefaultBeforeCardUnlock,IsValueAdditive,ValuePrefix
1-AutoLootHammerCount,8,AutoLootHammerCount,0,0,Auto-Loot Speed,Increases the number of loot boxes opened simultaneously in Auto Mode.,ref:8eee422b58e90414d8aba40300800acd,<sprite=0> ,ref:84698602950e4d84ab3679ea0cd2fab8,0,0,1,0,
10-MaxItemLevel,10,ForgeMaxItemLevel,150,1,Max Item Level,Increase Max Level,ref:8db92029099147e428bb9607d643c2f8,,,0,0,0,1,+
11-MaxPickaxe,11,MiningMaxPickaxe,120,1,Max Item Level,Increase Max Level,ref:2a233a3f71d03f04f883911e68a3680e,,,0,0,0,1,+
3-GemOfferChanceIncerease,1,GemOfferChance,30,0,Offer Gem Chance,Increases the probability of finding Gems in Offer Chests.,ref:93fbeadadb5cfed45ad0cb39f19cb3c4,,,10,1,1,0,%
4-AdboostDurationMultiplier,2,AdBoostDuration,180,0,Extended EXP Boost,Extends the active duration of Experience Boost.,ref:d0b8470f1a36c6d4bac0043a506ccee0,s,,300,1,1,0,+
5-AdBoostWorthMultiplier,3,AdBoostWorth,0,0,EXP Boost Multiplier,Increases the amount of experience multiplier gained from boosts.,ref:e5f5f530cc2c2d943865a5e1932e017f,,,2,1,1,0,x
6-MaxOfflineEarningTimeMultiplier,4,MaxOfflineTime,90,0,Max Offline Time,Extends the maximum time you can earn rewards while offline.,ref:962eddb8cc16aa342a7d96b8dc5f9f0d,,,1,1,1,0,x
7-OfflineEarningWorthMultiplier,5,OfflineEarningWorth,210,0,Offline Earning Rate,Increases the speed of resource gathering while offline.,ref:25f10c95925a15a4e959719a868f7cf6,,,1,1,1,0,x
8-PlayerMovementSpeedMultiplier,6,PlayerMovementSpeed,240,0,Movement Speed,Increases character movement speed.,ref:1222175a4371b8946ad572f46d59ceed,,,1,1,1,0,x
9-CompanionSummonCountIncrease,7,CompanionSummonCount,60,0,Summon Capacity,Increases the number of companions appearing per summon.,ref:0bdae6120192cde4cb351112ead189a4,,,0,0,0,0,+
