_name,ItemId,ItemName,LocalizationKey,Rarity,Rarity__enum,Icon
Neckle_10_1,1419,Holy Necklace,Items.Necklace.Name.1419,9,Divine,ref:1087a7ded0de6af42871f454d20acaa1
Neckle_10_2,1420,Celestial Necklace,Items.Necklace.Name.1420,9,Divine,ref:f3dede92a6a48d84f8c171708bd67bf5
Neckle_10_3,1421,Solar Necklace,Items.Necklace.Name.1421,9,Divine,ref:19b89651cd518c745b52dbe636f6b0b3
Neckle_1_1,1047,Wooden Necklace,Items.Necklace.Name.1047,0,Common,ref:d594491cb41702a42b0a21319e115007
Neckle_1_2,1026,Tooth Necklace,Items.Necklace.Name.1026,0,Common,ref:731d82f26c37ad242bfabbb4a8d16ae4
Neckle_1_3,1253,Primitive Necklace,Items.Necklace.Name.1253,0,Common,ref:42387dd790b4f144aa33cd2696be3f8d
Neckle_2_1,1035,Hawk Necklace,Items.Necklace.Name.1035,1,Uncommon,ref:b6f0aea14958eb3428251f4233d4c6ea
Neckle_2_2,1033,Iron Necklace,Items.Necklace.Name.1033,1,Uncommon,ref:819d6ecec9a82634b964c0bf2a22bb2c
Neckle_2_3,1257,Arrow Necklace,Items.Necklace.Name.1257,1,Uncommon,ref:974f4cd0d0003c84bac1e1f3b3cc9e83
Neckle_3_1,1032,Feather Necklace,Items.Necklace.Name.1032,2,Rare,ref:267724c83863ef945ab8f227d55b13a5
Neckle_3_2,1031,Rune Necklace,Items.Necklace.Name.1031,2,Rare,ref:0a6b8446c09a3024d9e321720255e7b6
Neckle_3_3,1260,Cursed Necklace,Items.Necklace.Name.1260,2,Rare,ref:6ad5b437c7b28f248bcb4610850d2cd5
Neckle_4_1,1030,Squire Necklace,Items.Necklace.Name.1030,3,Epic,ref:ab2083e1d739fde4fae55d0618ee5da4
Neckle_4_2,1029,Green Necklace,Items.Necklace.Name.1029,3,Epic,ref:36103f65fd1693b4b9650434c419ff70
Neckle_4_3,1259,Archer Necklace,Items.Necklace.Name.1259,3,Epic,ref:ee2b43a5424656e43b97b5d91fa26fd2
Neckle_5_1,1028,Knight Necklace,Items.Necklace.Name.1028,4,Legendary,ref:5836a00075cf41e40868a0470b525669
Neckle_5_2,1027,Templar Necklace,Items.Necklace.Name.1027,4,Legendary,ref:a1bbdfcd96f173b40a77fdde13070385
Neckle_5_3,1261,Royal Necklace,Items.Necklace.Name.1261,4,Legendary,ref:33369672fc3904b45a35599f1dd4f673
Neckle_6_1,1320,Arcane Necklace,Items.Necklace.Name.1320,5,Mythic,ref:0f806491a0d755941b80e0afcc361a2e
Neckle_6_2,1321,Mystic Necklace,Items.Necklace.Name.1321,5,Mythic,ref:0c866c661c052604b877e2d7a234fd11
Neckle_6_3,1322,Crystal Necklace,Items.Necklace.Name.1322,5,Mythic,ref:7352b3b881eb92e4a845c18827e2dc87
Neckle_7_1,1323,Sacred Necklace,Items.Necklace.Name.1323,6,Artifact,ref:bf7811707ee8e7048b09ddb160dd4fd9
Neckle_7_2,1324,Wild Necklace,Items.Necklace.Name.1324,6,Artifact,ref:0303f6628755e504c90ec5da87dcf587
Neckle_7_3,1325,Druidic Necklace,Items.Necklace.Name.1325,6,Artifact,ref:220a314d2807715459c2cdfebffb15d3
Neckle_8_1,1354,Ice Necklace,Items.Necklace.Name.1354,7,Ancient,ref:ec289843e73b4be439d9c69933f04dc3
Neckle_8_2,1355,Frost Necklace,Items.Necklace.Name.1355,7,Ancient,ref:a69299afcf8b38f4da582f7390e80c31
Neckle_8_3,1356,Chill Necklace,Items.Necklace.Name.1356,7,Ancient,ref:1bb1aead69f08664583be6d883f96451
Neckle_9_1,1416,Undying Necklace,Items.Necklace.Name.1416,8,Immortal,ref:48a2deb4b75e35948941a2a92fdb4297
Neckle_9_2,1417,Scarlet Necklace,Items.Necklace.Name.1417,8,Immortal,ref:a0f95b860cf21ee4e8be0d825c6042ab
Neckle_9_3,1418,Dread Necklace,Items.Necklace.Name.1418,8,Immortal,ref:67ffd4cb5dcb6904b8ffc9d0c340b630
