_name,ItemId,ItemName,LocalizationKey,Rarity,Rarity__enum,Icon
Ring_10_1,1425,Holy Ring,Items.Ring.Name.1425,9,Divine,ref:ef3f46b7488afd54fac9ce290ca2b40f
Ring_10_2,1426,Celestial Ring,Items.Ring.Name.1426,9,Divine,ref:78f2d0d93664e754eb343f268306e02d
Ring_10_3,1427,Solar Ring,Items.Ring.Name.1427,9,Divine,ref:3879532ab90aad54ca8cb3d19d404a35
Ring_1_1,1046,Birch Ring,Items.Ring.Name.1046,0,Common,ref:66566deddca1da54d90277675cb1e230
Ring_1_2,1045,Wooden Ring,Items.Ring.Name.1045,0,Common,ref:7b9b8f4b330ecba4d8622a6131d144e2
Ring_1_3,1264,Iron Ring,Items.Ring.Name.1264,0,Common,ref:9e69481c81dbb1143a3b230ac72688aa
Ring_2_1,1044,Oak Ring,Items.Ring.Name.1044,1,Uncommon,ref:4c2abc938d7f6204c95cd69efac47179
Ring_2_2,1043,Steel Ring,Items.Ring.Name.1043,1,Uncommon,ref:1ee097ca10b3f0e4ba74b86e22933ea8
Ring_2_3,1265,Thief Ring,Items.Ring.Name.1265,1,Uncommon,ref:9d2fd7b8deec0c44cad47c298d57dbac
Ring_3_1,1042,Viking Ring,Items.Ring.Name.1042,2,Rare,ref:a0c865c0d9ca54745ab3656d23e7f65b
Ring_3_2,1041,Dark Ring,Items.Ring.Name.1041,2,Rare,ref:c038838958b032c40b6e9579e3e8f23f
Ring_3_3,1268,Cursed Ring,Items.Ring.Name.1268,2,Rare,ref:9c798a4fb58df74428f248a61bfd228d
Ring_4_1,1040,Squire Ring,Items.Ring.Name.1040,3,Epic,ref:ab764eac15403534e9521f12657ff524
Ring_4_2,1039,Green Ring,Items.Ring.Name.1039,3,Epic,ref:9fd073827559a4646ac18907dd0e7cfb
Ring_4_3,1270,Archer Ring,Items.Ring.Name.1270,3,Epic,ref:0affbeacacedccf4e9f601cd7cba8edd
Ring_5_1,1038,Knight Ring,Items.Ring.Name.1038,4,Legendary,ref:d0e378b120006a04cb98e54f687cbb06
Ring_5_2,1037,Templar Ring,Items.Ring.Name.1037,4,Legendary,ref:e57468b0419e1f144a592337e398c70c
Ring_5_3,1273,Royal Ring,Items.Ring.Name.1273,4,Legendary,ref:8bdbc6a869c55164191622a809558614
Ring_6_1,1326,Arcane Ring,Items.Ring.Name.1326,5,Mythic,ref:cc4b0958d67a2e240bfb633521e02256
Ring_6_2,1327,Mystic Ring,Items.Ring.Name.1327,5,Mythic,ref:dd6e23677bfbeff4cb2e384f1b9faeea
Ring_6_3,1328,Crystal Ring,Items.Ring.Name.1328,5,Mythic,ref:a518448b18df29a46a3bf2e94944f585
Ring_7_1,1329,Sacred Ring,Items.Ring.Name.1329,6,Artifact,ref:d1769f93f8b5d13498934cfc1520e7db
Ring_7_2,1330,Wild Ring,Items.Ring.Name.1330,6,Artifact,ref:b5d787ad137d3224ba14ff03415520ae
Ring_7_3,1331,Druidic Ring,Items.Ring.Name.1331,6,Artifact,ref:7c097b846c536ba45b95158ddc886dbd
Ring_8_1,1357,Ice Ring,Items.Ring.Name.1357,7,Ancient,ref:2a32565d05618db42ae5c2108a96c0a5
Ring_8_2,1358,Frost Ring,Items.Ring.Name.1358,7,Ancient,ref:126860e5e1b61434eb6c584369542b6d
Ring_8_3,1359,Chill Ring,Items.Ring.Name.1359,7,Ancient,ref:47b93fe1e01dae0459545d2cad972d17
Ring_9_1,1422,Undying Ring,Items.Ring.Name.1422,8,Immortal,ref:5b8695593d12eee45a400a69fe6a0910
Ring_9_2,1423,Scarlet Ring,Items.Ring.Name.1423,8,Immortal,ref:503f369fcce4c0b4d8aefb018f083017
Ring_9_3,1424,Void Ring,Items.Ring.Name.1424,8,Immortal,ref:e6309c0ca6670754695d8d346e375a01
