_name,ItemId,ItemName,LocalizationKey,Rarity,Rarity__enum,Icon,WeaponType,WeaponType__enum,AttackSpeed,AttackDistance,ProjectileSpeed,AreaDamageRadius,WeaponAnimator,WeaponSprite,HitAudioVolume,ShootAudioVolume,ProjectileHitAudioVolume,ProjectilePrefab
CultistWeaponData_Melee,1010,CultistWeapon,Items.Weapon.Name.1010,0,Common,ref:1218b2fde00d2eb44af60977dd000e1e,0,Melee,1,1.5,0,0,ref:611a9fc2da3e5f64d9af917970e6ecea,ref:1218b2fde00d2eb44af60977dd000e1e,1,1,1,
CultistWeaponData_Ranged,1010,CultistWeapon,Items.Weapon.Name.1010,0,Common,ref:d76579fce148264438439af32f4138c7,1,Range,1,3.5,15,0,ref:454c8f9f83d421c459403e853226378e,ref:d76579fce148264438439af32f4138c7,1,1,1,ref:f44ce3c49a07b5a4a8fbf401b72c1198
DragonWeaponData,1003,DragonWeapon,Items.Weapon.Name.1003,0,Common,,1,Range,1,100,12,0,ref:6f968808d8d8a224388aaecab8bc5d8b,,1,1,1,ref:7b5802a5e9ab0e54ebd22d187c26bc8a
GreenDragonWeaponData,1368,DragonWeapon,Items.Weapon.Name.1368,0,Common,,1,Range,1,100,12,0,ref:6f968808d8d8a224388aaecab8bc5d8b,,1,1,1,ref:665ada676344e0a4a89dce07f201184b
Lych2WeaponData,1380,DragonWeapon,Items.Weapon.Name.1380,0,Common,,1,Range,1,100,12,0,ref:0567ae97aff62924b85325c78668a293,ref:204d1c76a387751429f04c9f6af1e4d9,1,1,1,ref:8fd084ea5fa3c954ba9c4cb744668b5c
Lych3WeaponData,1383,DragonWeapon,Items.Weapon.Name.1383,0,Common,,1,Range,1,100,12,0,ref:0567ae97aff62924b85325c78668a293,ref:a8090588464af7247adae5c005da6f37,1,1,1,ref:4fb24a0e899f2284787e10c1c4e2fc67
LychWeaponData,1377,DragonWeapon,Items.Weapon.Name.1377,0,Common,,1,Range,1,100,12,0,ref:0567ae97aff62924b85325c78668a293,ref:39f0cd14ddf275d4f8891bbec55dc333,1,1,1,ref:94313d04b860bf743935212ef68f2e55
Ogre1WeaponData,1386,DragonWeapon,Items.Weapon.Name.1386,0,Common,,0,Melee,1,3,12,0,ref:1c0d41c052ff4504c82365d510f56fe5,,1,1,1,
Ogre2WeaponData,1389,DragonWeapon,Items.Weapon.Name.1389,0,Common,,0,Melee,1,3,12,0,ref:3ab24baf0e8c2044d9ffe1984ab44bf0,ref:a3d3f07836a500d4d9b0a1769b48bb04,1,1,1,
PurpleDragonWeaponData,1371,DragonWeapon,Items.Weapon.Name.1371,0,Common,,1,Range,1,100,12,0,ref:6f968808d8d8a224388aaecab8bc5d8b,,1,1,1,ref:84d90c4dd5595d147b2e3e1d3d13c946
RedDragonWeaponData,1374,DragonWeapon,Items.Weapon.Name.1374,0,Common,,1,Range,1,100,12,0,ref:6f968808d8d8a224388aaecab8bc5d8b,,1,1,1,ref:7b5802a5e9ab0e54ebd22d187c26bc8a
Weapon_m_10_1,1431,Divine Mace,Items.Weapon.Name.1431,9,Divine,ref:cfc450e17f446bd4baac8193f1d8bd44,0,Melee,1,1.5,0,0,ref:ac40b42be3fdb834f88828525fc64cbc,ref:145794f8c2d375f459110dd24b8fd7fd,1,1,1,
Weapon_m_10_2,1432,Holy Greatsword,Items.Weapon.Name.1432,9,Divine,ref:91609cc376164f54b862c0d43ae5f984,0,Melee,1,1.5,0,0,ref:ac40b42be3fdb834f88828525fc64cbc,ref:8856608198e0cdc4a9b7d9beef6159c0,1,1,1,
Weapon_m_10_3,1433,Solar Greataxe,Items.Weapon.Name.1433,9,Divine,ref:f0892d982664e4f418cfd359aa969bff,0,Melee,1,1.5,0,0,ref:c89e93bb516cc14449702ffa556d5cdf,ref:48b74ed1c5ea66a4f99000f596635954,1,1,1,
Weapon_m_1_1,2,Pitchfork,Items.Weapon.Name.2,0,Common,ref:1ba108d492352d948ae9b4fe64833dea,0,Melee,1,1.5,0,0,ref:91b04c71bf38a074db4032527cbb9b7e,ref:29cf18cfcc3cb6940a1f582a7eebb043,1,1,1,
Weapon_m_1_2,1,Wooden Sword,Items.Weapon.Name.1,0,Common,ref:f016f970e07d1ce449dbd4b1b6cf61d6,0,Melee,1,1.5,0,0,ref:c89e93bb516cc14449702ffa556d5cdf,ref:0f61f2592932abd4195e13047200604c,1,1,1,
Weapon_m_1_3,1277,Sickle,Items.Weapon.Name.1277,0,Common,ref:7f1b4c332eed3cf4a96369e43ea386d4,0,Melee,1,1.5,0,0,ref:c89e93bb516cc14449702ffa556d5cdf,ref:4bd05c41dcd94c64caf5219721328536,1,1,1,
Weapon_m_2_1,30,Crude Dagger,Items.Weapon.Name.30,1,Uncommon,ref:2dcc69f5f9debc24d9bf1c32f9523b7e,0,Melee,1,1.5,0,0,ref:c89e93bb516cc14449702ffa556d5cdf,ref:b36035aafb5ae0142b78ba889bf1ba94,1,1,1,
Weapon_m_2_2,29,Wood Axe,Items.Weapon.Name.29,1,Uncommon,ref:5971d550282d430488d0ab06ba8f03c5,0,Melee,1,1.5,0,0,ref:c89e93bb516cc14449702ffa556d5cdf,ref:4bacadca5cb19ff4a9ca7ad0ad2cae5b,1,1,1,
