_name,WingId,WingName,LocalizationKey,Rarity,Rarity__enum,Icon,WingSprite,HealthBase,DamageBase,HealthScaler,DamageScaler,HealthTierScaler,DamageTierScaler,CraftOreType,CraftOreType__enum,CraftOreCost,RerollOreType,RerollOreType__enum,RerollCosts,LevelUpOreType,LevelUpOreType__enum,LevelUpCost,LevelUpCostMultiplier,MaxLevel
Wing_1,0,Fledgling,Items.Wing.Name.0,0,Common,ref:5559e7211dc28194d923980bd65d7045,ref:d7f9d36eff6a74e4188f1b4131392eec,30,9,0.015,0.015,3.1622777,3.1622777,7,Stone,30,7,Stone,524288,7,Stone,5,1,100
Wing_10,9,Eternal,Items.Wing.Name.9,9,Divine,ref:1ca66dd66a2108345a4837a0d8aba5c3,ref:d6306fe87a3a7fa4aa6f45423042866f,30,9,0.015,0.015,3.1622777,3.1622777,1,DiamondMine,1000,3,GoldMine,,3,GoldMine,10,1,100
Wing_2,1,Hawk,Items.Wing.Name.1,1,Uncommon,ref:311cbb7a5ce0ada4c9650678d8a50332,ref:4bd80996d2e85eb4bb9fa40b65b1e910,30,9,0.015,0.015,3.1622777,3.1622777,7,Stone,100,7,Stone,524288,7,Stone,5,1,100
Wing_3,2,Dove,Items.Wing.Name.2,2,Rare,ref:7d0b889e288fdf3409888f8e42161536,ref:5d87754cf19bfbd45aa099af2811211d,30,9,0.015,0.015,3.1622777,3.1622777,0,CoalMine,30,7,Stone,13194141106176,7,Stone,10,1,100
Wing_4,3,Blaze,Items.Wing.Name.3,3,Epic,ref:a089acaa33eebe2418b764cf71b46b70,ref:1a67e4aa4c8b50448a6fd26d50722634,30,9,0.015,0.015,3.1622777,3.1622777,0,CoalMine,100,7,Stone,13194141106176,7,Stone,10,1,100
Wing_5,4,Wyrmling,Items.Wing.Name.4,4,Legendary,ref:1dd7822cd8ee5664aa3fdb6cac683d97,ref:0fe6f2ccc867c6949a97c8117a19bfe6,30,9,0.015,0.015,3.1622777,3.1622777,4,IronMine,30,0,CoalMine,,0,CoalMine,10,1,100
Wing_6,5,Onyx,Items.Wing.Name.5,5,Mythic,ref:f1d56e817f448424493714ec5a1afc01,ref:e58c8a9ac2774314ab17ea9853d3ea64,30,9,0.015,0.015,3.1622777,3.1622777,4,IronMine,100,0,CoalMine,,0,CoalMine,10,1,100
Wing_7,6,Green Dragon,Items.Wing.Name.6,6,Artifact,ref:e8b3bc3673084aa419f23fff22f91db4,ref:235cb1fbf6996034d892d44e06a6bb69,30,9,0.015,0.015,3.1622777,3.1622777,5,RubyMine,100,4,IronMine,,4,IronMine,10,1,100
Wing_8,7,Fiend,Items.Wing.Name.7,7,Ancient,ref:4dba446ab217edd4bb76f4d7e59fcf9e,ref:84831c9654bffec428915723ef361c70,30,9,0.015,0.015,3.1622777,3.1622777,2,EmeraldMine,100,5,RubyMine,,5,RubyMine,10,1,100
Wing_9,8,Celestial,Items.Wing.Name.8,8,Immortal,ref:38d7c6360c4a54d4498bebf4338bbc44,ref:e6bc10195e7ca164e973dc40b094ae4e,30,9,0.015,0.015,3.1622777,3.1622777,3,GoldMine,100,2,EmeraldMine,,2,EmeraldMine,10,1,100
