level,xp_required
1,200
2,600
3,1200
4,3000
5,4500
6,6000
7,9000
8,10800
9,12600
10,14400
11,16200
12,18000
13,19800
14,21600
15,23400
16,25200
17,27000
18,28800
19,30600
20,36000
21,38000
22,40000
23,42000
24,44000
25,50600
26,52800
27,55000
28,57200
29,59400
30,61600
31,63700
32,69800
33,76200
34,82900
35,89900
36,97200
37,104800
38,112700
39,121000
40,129500
41,138400
42,147700
43,157200
44,167200
45,177400
46,188000
47,199000
48,210300
49,222000
50,234000
51,246400
52,259200
53,272400
54,285900
55,299900
56,314200
57,328900
58,344000
59,359500
60,375400
61,391700
62,408400
63,425500
64,443100
65,461000
66,479400
67,498200
68,517500
69,537100
70,557200
71,577800
72,598700
73,620200
74,642000
75,664400
76,687100
77,710400
78,734100
79,758200
80,782800
81,807900
82,833500
83,859500
84,886000
85,913000
86,940500
87,968500
88,996900
89,1025900
90,1055300
91,1085200
92,1115700
93,1146600
94,1178000
95,1210000
96,1242500
97,1275400
98,1308900
99,1343000
100,1377500
